id,snippet,predicted_label,confidence,rationale
contractnli_327,"Non-Disclosure Agreement WHEREAS, in order to receive sensitive information, the City shall disclose to ___________________________________ (the “Recipient”), certain Confidential Material of the City for the sole purpose of responding to Request for Proposal No. PS20131165 – Preliminary Design of the Georgia Ramp and Steps (the “Purpose”) and on the terms and subject to the conditions contained in this Agreement. NOW THEREFORE, in consideration of the mutual premises and covenants herein, the receipt and sufficiency of which is hereby acknowledged, the City and the Recipient hereby agree as follows: 1.0 Definitions 1.1 “Affiliate” means an affiliate as defined in the Business Corporations Act (British Columbia), as may be amended. 1.2 “Agreement” means this Non-Disclosure Agreement. 1.3 “City” means the City of Vancouver, a municipal corporation continued pursuant to the Vancouver Charter, and includes, but is not limited to, the Vancouver Police Board, the City’s Board of Parks and Recreation, the Vancouver Fire and Rescue Service, and the Vancouver Library Board; 1.4 “Recipient’s Team” means any person who is a member of the Recipient’s team, whether such member is an employee, sub-contractor or agent of the Recipient, or any employee or agent of such person. 1.5 “Confidential Material” means all information, in any form or medium, known or used by City or an Affiliate of the City which is not known to the general public, including, but not limited to, the know-how, trade secrets, strategic plans, technical information, product information, supplier information, customer information, financial information, marketing information and information as to business opportunities, methods and strategies and research and development of the City and its Affiliates. If and to the extent any Confidential Material is included in any report, assessment, diagram, memorandum or other document or copied or reproduced in any other form or medium, such report, assessment, diagram,…",Confidentiality (NDA) Agreements,0.95,The contract is a Non-Disclosure Agreement that outlines the terms for the disclosure of confidential information between the City and the Recipient.
cuad_339,"Exhibit 99.3 EXECUTION COPY INTELLECTUAL PROPERTY AGREEMENT THIS INTELLECTUAL PROPERTY AGREEMENT (this ""Intellectual Property Agreement""), dated as of December 20, 2007, is made by and between NMS COMMUNICATIONS CORP., a Delaware corporation (""Seller""), and VERSO BACKHAUL SOLUTIONS, INC., a Georgia corporation (""Backhaul""). RECITALS: WHEREAS, Seller and Verso Technologies, Inc., a Minnesota corporation (""Buyer""), have entered into that certain Asset Purchase Agreement, dated as of the date hereof (the ""Asset Purchase Agreement""), pursuant to which Buyer has the right to acquire the Purchased Assets of Seller and its Subsidiaries, as more particularly described in the Asset Purchase Agreement (all capitalized words and terms used herein and not otherwise defined herein shall have the meanings ascribed to them in the Asset Purchase Agreement); and WHEREAS, Buyer has designated Backhaul as a Buyer Designee for purposes of the Asset Purchase Agreement, and Buyer has assigned to Backhaul the right to receive the Purchased Assets pursuant to that certain Assignment of Asset Purchase Agreement between Buyer and Backhaul dated as of the date hereof. ASSIGNMENT: NOW, THEREFORE, for good and valuable consideration, the receipt and adequacy of which are hereby acknowledged, Seller does hereby transfer, sell, assign, convey and deliver to Backhaul all right, title and interest in, to and under the Assigned Intellectual Property, including, without limitation, the Trademarks and Patents set forth on Schedules A and B hereof, respectively, and all goodwill of the Purchased Business associated therewith. Seller hereby covenants and agrees, that from time to time forthwith upon the reasonable written request of Backhaul or Buyer, that Seller will, at Backhaul's cost and expense, do, execute, acknowledge and deliver or cause to be done, executed, acknowledged and delivered, each and all of such further acts, deeds, assignments, transfers, conveyances and assurances as may…",Licensing Agreements,0.9,"The contract involves the transfer of intellectual property rights, specifically patents and trademarks, indicating a licensing arrangement."
contractnli_22,"Annex 5 Non Disclosure Agreement Introduction This Non Disclosure Agreement (the ""NDA"") is made by and between the Ministry of Defence of the Kingdom of Norway (""NMOD"") and Gripen International AB (""GI""), a business unit of Saab AB (publ), hereinafter jointly referred to as the ""Parties"" and individually referred to as ""Party"". The Parties: are referring to the letter of agreement between NMOD and GI concerning industrial participation in further development of Gripen and related projects (the ""LOA""); noting their wish to exchange information for the purpose of conducting evaluations of the Gripen aircraft, and pursuing discussions and work related to the Gripen Demonstrator Programme and other Gripen and defence related projects (""LOA Projects""); noting that such exchange of information may involve the disclosure of confidential information by either Party, and that the Parties wish to record their agreement to maintain the confidentiality of such information; noting that exchanging information with GI shall also include exchanging information with Saab and upon such disclosure Saab shall confirm and be bound of the terms and conditions contained herein as if Saab was a Party to the NDA; noting that exchanging information with the NMOD shall also include other Norwegian authorities and upon such disclosure said Norwegian authority shall confirm and be bound of the terms and conditions contained herein as if said Norwegian authority was a Party to the NDA. NOW, THEREFORE, the parties agree as follows: Clause 1 Confidential Information - information of whatever kind and in whatever form contained (and includes in particular but without prejudice to the generality of the foregoing, documents, drawings, computerized information, films, tapes, specifications, designs, models, equipment or data of any kind) which is clearly identified by the Disclosing Party as confidential by an appropriate legend or if orally disclosed then upon disclosure or within 30 days of such…",Confidentiality (NDA) Agreements,0.95,"This is a Non-Disclosure Agreement between the Ministry of Defence and Gripen International, focusing on the confidentiality of shared information."
cuad_32,"Exhibit 10.5 DISTRIBUTOR AGREEMENT This Agreement is entered into as of January 21, 2005 (the ""Effective Date"") by and among VendingData Corporation, a Nevada corporation (""Vendor""), and Technical Casino Supplies Ltd, an English company (""Distributor""). RECITALS WHEREAS, Vendor is the owner of patents, patents pending, trademarks, and other related intellectual property involving a full range of shuffling machine products for the casino industry (collectively, the ""Products"" and, individually, the ""Product""); WHEREAS, Distributor is in the business of distributing products to the casino industry throughout the world and is a subsidiary of Victoria Holdings Ltd; and WHEREAS, Vendor desires to grant to Distributor an exclusive right to market, sell, rent, lease, service and maintain the Products subject to the terms and conditions as set forth herein. NOW, THEREFORE, in consideration of the several and mutual promises, agreements, covenants, understandings, undertakings, representations and warranties hereinafter set forth the receipt and sufficiency of which is hereby acknowledged, the parties to this Agreement agree that the aforementioned recitals are true and correct and by this reference incorporated herein as if fully set forth and the parties further covenant and agree as follows: 1. TERM As provided for in this Section 1, the term of this Agreement shall be for a period of five (5) years, beginning on the Effective Date (the ""Initial Term""); provided, however, the Initial Term shall be subject to automatic successive renewal terms of three (3) years each (the ""Renewal Terms"" and together with the Initial Term, the ""Term""). 1.1. Termination. This Agreement may be terminated subject to the following clauses: 1.1.1. By either Vendor or Distributor, upon written notice of termination of this Agreement no later than ninety (90) calendar days prior to the expiration of the relevant Term, then in effect; 1.1.2. By Vendor and Distributor, at any time, upon the mutual…",Franchise Agreements,0.85,"The contract grants exclusive rights to a distributor to market and sell products, which aligns with franchise-like arrangements."
contractnli_241,"NON-DISCLOSURE AGREEMENT CONTRACT TERMS This agreement, dated as of the latest date of signature below (the “Date”), is between Inria, and the person or entity/organization (User) identified in the signature line below. 1.CONTACTS Inria Contact User (Organization) Contact Institut National de Recherche en Informatique et Organization: en Automatique (Inria) Adm Contact: French public organism whose registered office is Post address: at Domaine de Voluceau – Rocquencourt – BP Tel: 105 – 78153 Le Chesnay Cedex Email: Represented by its Chief Executive Officer, M. Antoine PETIT Technical contact: Technical Contact: Post address: Carlos Canudas de Wit Tel: CNRS, Control System Dept, GIPSA-Lab Email: BP. 46, 38402, ST Martin d'Hères, France carlos.canudas-de-wit@gipsa-lab.fr 2.SCOPE. As hereafter detailed in this Agreement, Inria via the NECS team agrees to disclose to the Organization certain proprietary and confidential traffic-related data under terms and conditions specified below to only Research and Academic use purposes without fees or other compensation, and which should not be distributed to any third parties. The Grenoble Traffic Lab (GTL) Data and all related documentation and information provided by Inria will be used only for the limited purpose of evaluation hereunder, and will not be used for any other purpose, or in any manner adversarial to Inria. 3.TERMS. A. Acknowledgements. Organization or individual should add below line in the acknowledgement section of their publications: The authors would like to kindly acknowledge to the CNRS/INRIA NeCS team by providing traffic data from the Grenoble Traffic Lab (GTL), see Ref. [GTL] B. References. Organization used GTL data in their paper to represent figures, charts, table or any other experiment should add following sentence in reference to figure: “Experiment realized with traffic data provided by the NeCS team from the the Grenoble Traffic Lab (GTL), see Ref. [GTL]” Ref. [GTL]. Carlos Canudas-de-Wit, Fabio…",Confidentiality (NDA) Agreements,0.95,This agreement is a Non-Disclosure Agreement detailing the obligations of Inria and the User regarding confidential information.
cuad_54,"Exhibit 10.1 COOPERATION AGREEMENT This Cooperation Agreement (""Agreement"") is entered into as of June 18, 2020, by and between Spôk Holdings, Inc., a Delaware corporation (the ""Company""), and White Hat Strategic Partners LP, a Delaware limited partnership, White Hat SP GP LLC, a Delaware limited liability company, White Hat Capital Partners LP, a Delaware limited partnership, and White Hat Capital Partners GP LLC, a Delaware limited liability company (collectively, the ""White Hat Parties"") (each of the Company and the White Hat Parties, a ""Party"" to this Agreement, and collectively, the ""Parties""). RECITALS WHEREAS, the White Hat Parties have voting power or sole dispositive power or otherwise have beneficial ownership of 319,708 shares (the ""Current Position"") of the common stock, par value $0.0001 per share, of the Company (the ""Common Stock"") as of the date of this Agreement; and WHEREAS, as of the date of this Agreement, the Company and the White Hat Parties have determined to come to an agreement with respect to certain matters set forth below; and NOW, THEREFORE, in consideration of the foregoing premises and the mutual covenants and agreements contained herein, and for other good and valuable consideration, the receipt and sufficiency of which are acknowledged, the Parties to this Agreement, intending to be legally bound, agree as follows: 1. Board Nominations; Certain Information. (a) Brett Shockley (the ""New Director"") has provided the Company with responses to a Director and Officer Questionnaire customarily used for NASDAQ-listed companies and certain biographical information in compliance with Item 401 of Regulation S-K as promulgated by the Securities and Exchange Commission (the ""SEC"") (collectively, the ""Information""), has executed all documents required to be executed by directors of the Company, and has cooperated with a background check. (b) Based on the Information, the Nominating and Governance Committee (the ""Nominating Committee"") of the…",Partnership Agreements,0.8,"The agreement involves collaboration between parties regarding stock ownership and board nominations, indicating a partnership context."
contractnli_569,"BILATERAL CONFIDENTIALITY AGREEMENT THIS BILATERAL CONFIDENTIALITY AGREEMENT (this ""Agreement"") is made as of the 12th day of November, 2002 (the ""Effective Date"") by and between STUART ENERGY SYSTEMS CORPORATION (""Stuart Energy""), a Canadian corporation having a principal place of business at 5101 Orbitor Drive, Mississauga, Ontario L4W 4V1 and HYDROGENICS CORPORATION (""Hydrogenics""), a Canadian corporation having a principal place of business at 5985 McLaughlin Road, Mississauga, Ontario L5R 1B8. The parties are entering into discussions related to exploring the possibility of Stuart Energy and Hydrogenics cooperating in joint business initiatives for their mutual benefit, including, potentially, a business combination (the ""Discussions""). During the course of such Discussions and any subsequent negotiations (the ""Negotiations""), either party may have need of information from the other party that is regarded as confidential or may constitute a trade secret or other proprietary corporate information. Accordingly, the parties agree as follows: 1. Confidential Information. (a) ""Confidential Information"" as used in this Agreement is defined as written or oral information or materials, in whatever form, that (i) is disclosed by one party (the ""Disclosing Party"") to the other party (the ""Receiving Party"") in connection with the Discussions and/or the Negotiations; and (ii) relates to the business and/or affairs of the Disclosing Party, and includes, but is not limited to, the business and marketing plans and strategies, customers, suppliers, distributors, agents, research and product development plans, products, product cycles, technology, operations, assets, intellectual property, know-how, software, source code, copyright works, trade-marks, concepts, ideas, data, designs, ""look and feel"" design elements, specifications, inventions, algorithms, formulae, processes, techniques, systems and improvements, partnerships, joint ventures, financial statements, financial…",Confidentiality (NDA) Agreements,0.95,This is a Bilateral Confidentiality Agreement focused on protecting confidential information exchanged during discussions.
cuad_271,"Exhibit 10.22 OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT This Outsource Technology Development Agreement (this ""Agreement"") is entered into and effective as of this 1s t day of March, 2018 (the ""Effective Date"") by and between Document Security Systems, Inc., a corporation organized and existing under the laws of the State of New York (""DSS""), and HotApp International Ltd., a corporation organized and existing under the laws of Hong Kong (""Developer""). RECITALS: WHEREAS, DSS is engaged in the business of, among other things, developing and licensing anti-counterfeiting technology, processes and products providing protection against a wide range of threats, including product diversion and counterfeiting, brand infringement, forgery, and unauthorized copying, scanning and photo imaging; WHEREAS, Developer is engaged in the business of, among other things, software development; and WHEREAS, DSS desires to retain Developer for the purpose of assisting DSS in developing an Android software application to be included as part of DSS's AuthentiGuard® Technology suite, and DSS is willing to grant Developer a non-exclusive, limited and non-transferable license for purposes of such development activities. NOW, THEREFORE, for good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, the parties hereto agree as follows: Capitalized terms contained herein shall have the meanings ascribed to them herein, or in Schedule 1 which is annexed hereto and made a part of this Agreement. 1. Development License and Fees. 1.1. Development License. Subject to the terms and conditions set forth herein, DSS hereby grants to Developer, and Developer accepts from DSS, for the Term, a non-exclusive, limited, and non-transferable license to install and use the Technology for the sole purpose of developing the Improvements (as defined hereunder) thereto for the benefit of DSS (the ""Technology Development Services License""). 1.2. Development Fees. As payment for…",Service Contracts,0.85,"The contract involves outsourcing technology development services, which fits the definition of a service contract."
cuad_183,"Exhibit 10.9 SUPPLY AGREEMENT between CREMER OLEO GmbH & Co KG, Glockengiesserwall 3, 20095 Hamburg, Germany — hereinafter referred to as Cremer — and Ultragenyx Pharmaceutical Inc, 60 Leveroni Court, Suite 200, Novato, California 94949, United States of America — hereinafter referred to as Ultragenyx — ­ each party also referred to as a ""Party"" and jointly as the ""Parties"" - Preamble Whereas, Cremer is a producer of oleo chemical products; Whereas, Ultragenyx is a biotechnology company committed to bringing life-enhancing therapeutics for patients with rare and ultra-rare genetic diseases, also known as orphan diseases, to market; Whereas, the Parties desire that Cremer supplies to Ultragenyx the product Triheptanoin (hereinafter also referred to as the ""Product"") in bulk form pursuant to the terms and conditions of this Agreement; Whereas, Ultragenyx intends to process the Product into a pharmaceutical product in the meaning of Sec. 2 German Pharmaceuticals Act (Arzneimittelgesetz—AMG) and to market the processed Product in the Field (as defined below) (hereinafter referred to as the ""Purpose""); and Whereas, Ultragenyx intends to obtain regulatory approval for the processed Product as a pharmaceutical product in the meaning of Sec. 2 AMG. Now therefore, the Parties hereto agree as follows: Article 1 Supply of Product 1) Subject to the terms and conditions set forth in this Agreement Cremer shall supply Ultragenyx with the Product free from defect and meeting the product specification attached to this Agreement as Annex A (the ""Product Specifications""). 2) Cremer shall supply Ultragenyx exclusively with the Product worldwide. The aforesaid exclusivity is limited to [***] (collectively, the ""Field""). Cremer may supply the Product to other customers outside of the Field. 3) Ultragenyx shall purchase the Product exclusively from Cremer. [***] Certain information in this document has been omitted and filed separately with the Securities and Exchange Commission.…",Sale of Goods,0.9,"The contract is a Supply Agreement for the sale of a specific product, indicating a transfer of goods."
cuad_108,"Exhibit 10.1 CERTAIN CONFIDENTIAL INFORMATION CONTAINED IN THIS EXHIBIT, MARKED BY BRACKETS, HAS BEEN OMITTED AND FILED SEPARATELY WITH THE SECURITIES AND EXCHANGE COMMISSION PURSUANT TO RULE 24B-2 OF THE SECURITIES EXCHANGE ACT OF 1934, AS AMENDED. SERVICES OUTSOURCING AGREEMENT Between CCA INDUSTRIES, INC. (""Company"") And EMERSON HEALTHCARE, LLC (""Contractor"") DATED AS OF January 20, 2014 CONFIDENTIAL TREATMENT REQUESTED This Services Outsourcing Agreement (this ""Agreement"") is made as of January 20, 2014 (Date), between CCA Industries, Inc. (""Company""), and Emerson HealthCare, LLC, a Pennsylvania limited liability company (""Contractor""). RECITALS WHEREAS, the Company will own, develop, manufacture or have manufactured, market and sell the products set forth on Exhibit A attached hereto, as the same may be amended from time to time in accordance with the terms hereof (the ""Products""), and desires to outsource certain logistical and administrative services with respect to the Products; and WHEREAS, the Company desires to engage Contractor to provide certain logistical and administrative services with respect to the Products and Contractor is willing to provide such services in connection therewith, on the terms and conditions set forth in this Agreement. NOW, THEREFORE, for good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Company and Contractor agree as follows: ARTICLE I GENERAL TERMS 1.01 Certain Defined Terms. For the purposes of this Agreement, the following capitalized terms shall have the meanings set forth below. (a) ""Accounts Receivable"" shall mean all accounts receivable, notes receivable and other indebtedness due and owed by any Customer and arising or held in connection with the sale of any of the Products. (b) ""Agreement"" shall mean this Agreement, including all Exhibits attached hereto, as the same may be amended, modified or supplemented from time to time in accordance with the terms hereof. (c)…",Service Contracts,0.85,This is a Services Outsourcing Agreement where one party engages another to provide logistical and administrative services.
